,date,open,high,low,close,adj_close,Volume,r_pos_score,r_neu_score,r_neg_score,t_pos_score,t_neu_score,t_neg_score
265,2021-05-12,38.651222,42.413006,34.031391,34.031391,34.031391,3698746095.0,0.1033872815884476,0.859174285198556,0.0374703140794223,0.0455840324909747,0.9362717581227435,0.018154429602888
266,2021-05-13,35.05687,41.787979,33.150982,40.031654,40.031654,7032709584.0,0.0804031352313167,0.8842216405693949,0.0318372989323843,0.0488313571428571,0.9391453452380952,0.0120307619047619
267,2021-05-14,39.967552,47.963886,39.457359,47.945938,47.945938,5633438540.0,0.0809627834394904,0.8807494076433121,0.0351060955414012,0.0551880604781997,0.9248434753867792,0.0199756835443037
268,2021-05-15,47.959782,49.692959,42.976322,43.538631,43.538631,6487556686.0,0.100668711598746,0.8692361097178684,0.026975921630094,0.0700585396825396,0.9198799682539682,0.0100654841269841
269,2021-05-16,43.531631,46.640377,39.453522,42.631512,42.631512,4268621267.0,0.0922399078498293,0.8766938327645051,0.0276699419795221,0.07871243847487,0.910759232235702,0.010529596187175
270,2021-05-17,42.386211,42.386211,35.430058,38.710159,38.710159,4779518016.0,0.1007963667953668,0.873043471042471,0.0261477181467181,0.0745616874328679,0.9134907959183672,0.0119483684210526
271,2021-05-18,38.631367,42.600018,37.850582,40.645355,40.645355,3914013746.0,0.1107825384615384,0.8568563846153846,0.0323702307692307,0.0556662298850574,0.9274320344827588,0.0169004252873563
272,2021-05-19,40.68882,41.340519,18.635315,25.227142,25.227142,10069997172.0,0.0848928205804749,0.8948690738786279,0.0202516596306068,0.0765941428571428,0.9092592857142856,0.0141381428571428
273,2021-05-20,25.060495,31.229704,21.279379,29.15057,29.15057,6694931133.0,0.0704950119760479,0.8998483053892216,0.0296626766467065,0.0657587505407353,0.9166679069935112,0.0175763424657534
274,2021-05-21,29.015823,30.980139,20.029606,24.46397,24.46397,6442011513.0,0.096001,0.8792264901960783,0.0214846601307189,0.0758859077090119,0.91257211834962,0.0115395450597177
275,2021-05-22,24.468996,24.601328,20.484144,22.014524,22.014524,4379003452.0,0.1022933076923077,0.8732240769230769,0.0206471538461538,0.1842384384236453,0.8098783399014778,0.0058852364532019
276,2021-05-23,22.069677,23.464121,13.822857,18.029442,18.029442,6002858936.0,0.1010627977528089,0.8759279662921348,0.0230347078651685,0.0754977824967825,0.9149353629343628,0.0095634195624195
277,2021-05-24,17.922501,23.488632,17.208324,23.199089,23.199089,4412004564.0,0.0921242876712328,0.8732384429223744,0.03462200456621,0.0536189775280898,0.9305136404494382,0.0158703820224719
278,2021-05-25,23.257433,24.2038,19.75786,22.130131,22.130131,3303527397.0,0.0874359442379182,0.8659378029739776,0.0391905910780669,0.0528704158075601,0.9303016872852232,0.0168205876288659
279,2021-05-26,22.185699,24.740444,21.673191,24.549688,24.549688,3100578186.0,0.0977215882352941,0.8650818823529411,0.0335157058823529,0.0527259508840864,0.9364371493123772,0.0108398998035363
280,2021-05-27,24.546219,24.898315,21.809864,23.852982,23.852982,2755550527.0,0.1183077484662576,0.8369243128834356,0.0386329018404908,0.0506104032549728,0.9367659186256782,0.0126230614828209
281,2021-05-28,23.976791,26.115757,20.127405,21.410093,21.410093,4521086730.0,0.0972993870967741,0.8606461612903226,0.0420655161290322,0.0463836086956521,0.9396162173913044,0.0140053478260869
282,2021-05-29,21.367643,22.27109,18.807243,19.863375,19.863375,2392272347.0,0.0966676666666666,0.8733578627450981,0.0260715882352941,0.0542787777777777,0.9345776283524904,0.011148509578544
283,2021-05-30,19.86342,21.245222,18.561646,20.473988,20.473988,1947583708.0,0.1209546082474226,0.8609494536082474,0.0180834742268041,0.0419345106382978,0.942844085106383,0.015221744680851
284,2021-05-31,20.477188,23.430927,19.097073,23.430927,23.430927,2651300356.0,0.0987371963190184,0.8543016134969325,0.0408292208588957,0.0505952408376963,0.9333858167539268,0.0160219424083769
285,2021-06-01,23.29697,23.516838,21.745428,22.810846,22.810846,2230220978.0,0.0966529823788546,0.8756617929515419,0.0277058458149779,0.0413343333333333,0.9471331138211382,0.0115294552845528
286,2021-06-02,22.847124,26.844893,22.684246,25.957727,25.957727,2962777621.0,0.0723803103448275,0.8925231674876847,0.0301832660098522,0.0495282331154684,0.939149148148148,0.0113234400871459
287,2021-06-03,25.941643,28.614927,25.750546,27.013458,27.013458,2803059246.0,0.0835225311004784,0.8951445406698564,0.0213120047846889,0.0515066910569105,0.9365538455284552,0.0119359593495934
288,2021-06-04,26.987314,26.987314,23.707581,25.008299,25.008299,2801117143.0,0.1067437652733118,0.8676826720257235,0.025589424437299,0.059125394184168,0.9271270096930532,0.0137489806138933
289,2021-06-05,25.021383,26.388992,23.064758,23.816771,23.816771,2102969701.0,0.0825580776255707,0.8780192648401826,0.0394347899543379,0.0465257018739352,0.9364268943781944,0.0170435894378194
290,2021-06-06,23.793795,24.45809,23.624956,24.201599,24.201599,1187622849.0,0.1060931985815602,0.8549726312056738,0.0389229858156028,0.0452596605080831,0.9454582748267898,0.0092804457274826
291,2021-06-07,24.202633,25.279028,21.432226,21.626959,21.626959,1861117892.0,0.1088691318681318,0.8617812197802197,0.0293251758241758,0.0426986744186046,0.943065599483204,0.0142335581395348
